duration_month,exposure,lapses,crude_ci_low,crude_ci_high,crude_lapse_rate
1,7871.5,254,0.028586910567921668,0.03640602891295113,0.032268309724957124
2,7662.5,158,0.017669935965954044,0.024050302537375896,0.020619902120717782
3,7510.5,135,0.01520714234865055,0.02123538509779931,0.017974835230677052
4,7389.5,95,0.010528843454774481,0.01568955824872587,0.012856079572366196
5,7286.5,101,0.01142140667122653,0.01681342940284715,0.013861250257325191
6,7199.0,64,0.0069684890284984775,0.011335620283026574,0.008890123628281706
7,7127.5,69,0.007657094155061435,0.012232795848244535,0.009680813749561557
8,7058.0,59,0.006486447387547473,0.010767069032305385,0.0083593085860017
9,6999.5,46,0.004930886286476081,0.008754237969065017,0.0065718979927137655
10,6947.0,45,0.004844788902999935,0.008655964732358409,0.006477616237224701
11,6897.0,47,0.005128725655295142,0.009049487042703896,0.006814557053791504
12,6855.5,29,0.0029470047044355724,0.006068671085788962,0.004230180147326964
13,6818.5,35,0.003693257881054897,0.007130240021776589,0.005133093788956516
14,6774.5,43,0.004715886146049754,0.008538329309836978,0.006347331906413758
15,6721.0,51,0.0057763640779834894,0.009962534515553643,0.007588156524326737
16,6655.0,69,0.008201267083461333,0.01309997546298999,0.010368144252441773
17,6572.5,87,0.010744459908469967,0.0162981742515317,0.013236972232788132
18,6477.5,92,0.011595832815535471,0.017386068092140806,0.014203010420686994
19,6370.0,111,0.014490743032027364,0.02094182874697637,0.017425431711145998
20,6251.5,112,0.014911289997574297,0.021512236417034307,0.017915700231944335
21,6134.5,110,0.01489961563146606,0.021566520433688743,0.01793137174993887
22,6018.0,117,0.01624744987425245,0.02324903904036796,0.019441674975074777
23,5890.5,134,0.019240420882866746,0.026878657115598767,0.02274849333672863
24,5756.0,130,0.019053271131397643,0.026753821896993966,0.022585128561501043
